"Ид","Название","Город","Место","Рейтинг","ТРК по БС"
"2308","Бункер","Владимир","451","4796","5136"
"4313","Black Label","Таллин","450","4796","5494"
"175","Транссфера","Санкт-Петербург","453","4793","3182"
"58332","Барселона","Барселона","452","4793","0"
"48942","Пушные спесцы","Санкт-Петербург","454","4790","5299"
"7244","Утомлённые","Витебск","455","4786","6100"
"4246","Слово и дело","Зеленоград","456","4783","4675"
"7567","ЁПРСТейка","Магнитогорск","457","4777","5026"
"167","Опухлики","Санкт-Петербург","458","4772","5123"
"3880","Ан-Ти","Орёл","459","4771","4236"
"39997","Эталон этанола","Минск","460","4771","5101"
"3717","Ксюша","Винница","461","4768","4585"
"550","Шанс","Полтава","462","4764","3475"
"62286","I am trying Jennifer","Иркутск","463","4763","4988"
"26705","Вагон героев","Калининград","464","4758","4667"
"8809","Рот виноват","Новосибирск","465","4751","5145"
"37492","Проект Церебро","Астрахань","466","4747","3974"
"50934","Те, кого нельзя называть","Киев","467","4747","5433"
"7894","Мыс Li","Тула","469","4743","4777"
"28217","Выше плинтуса","Чикаго","468","4743","5210"
"55829","Ярмарка Тщехословакия","Новосибирск","470","4743","5784"
"1618","МиФ","Нежин","471","4732","3874"
"365","Вестимо","Торонто","472","4729","4498"
"5141","НУИХ","Ереван","473","4721","3389"
"8355","Сигма Омега Дельта","Новороссийск","474","4720","4617"
"645","42","Монреаль","475","4716","4500"
"40221","Конь-буквоед","Минск","476","4708","4784"
"38038","Похоть и уныние","Тольятти","477","4702","5347"
"4050","Лузеро","Ярославль","478","4701","4933"
"72","Фунтики","Минск","480","4698","3637"
"214","АС","Новосибирск","479","4698","0"
"1337","Alta vista","Нижний Тагил","481","4697","4924"
"6426","Гвоздь","Воронеж","482","4695","4299"
"45478","Сахар","Брянск","484","4693","4601"
"51872","Poker Face","Южно-Сахалинск","483","4693","5254"
"245","Айастан","Ереван","485","4691","4660"
"4952","Бес капитанов","Санкт-Петербург","486","4688","5434"
"45410","Ушкуй","Ижевск","487","4688","0"
"52624","Урожай","Краснодар","488","4686","5452"
"62097","Грейпфрутовый смузи","Пекин","489","4680","4595"
"64256","Лабиринт Милотавра","Санкт-Петербург","490","4678","4947"
"57824","Джин Толик","Минск","491","4675","4408"
"67539","Стрельба по-македонски","Москва","492","4672","5303"
"1462","От Винта - Резюме","Харьков","493","4660","5082"
"2842","Корпорация монстров","Серпухов","494","4652","4969"
"40030","Натори","Саратов","495","4652","5027"
"3950","Мы-6","Хельсинки","496","4648","4567"
"59082","Терпение и труд всё","Санкт-Петербург","498","4643","5112"
"63872","Искатели трепангов","Санкт-Петербург","497","4643","5634"
"70991","Десятая когорта","Саратов","499","4641","5364"
"40247","Эти две и йети","Ростов-на-Дону","500","4639","5303"
"6767","Барокамера-люкс","Краснодар","501","4631","5180"
"227","Каррамба","Ростов-на-Дону","502","4629","5336"
"27260","Герцоги мира","Львов","503","4625","4609"
"51850","Покупание прекрасного коньяка","Минск","504","4625","4272"
"6074","Brainstorm","Баку","505","4619","4090"
"5242","Абзац","Торонто","507","4616","4140"
"39893","Billie Bob Top","Курск","506","4616","4455"
"65319","Гномы-каннибалы","Нур-Султан (Астана)","508","4615","5380"
